F,n,x0,force_x,force_y,abs(force),max_height
0.05,0.1,0.5,15.6323,-3.36737,15.9909,4.60778
0.05,0.1,1,14.0619,-5.29301,15.025,4.47682
0.05,0.1,1.5,13.202,-6.89734,14.8951,4.40182
0.05,0.1,2,12.6304,-8.3352,15.1329,4.35162
0.05,0.1,2.5,12.2076,-9.66529,15.5706,4.31343
0.05,0.1,3,11.8483,-10.9191,16.1124,4.27912
0.05,0.25,0.5,11.3688,-4.10525,12.0873,3.94152
0.05,0.25,1,9.07945,-6.23958,11.0167,3.65496
0.05,0.25,1.5,7.95069,-7.96585,11.2547,3.49854
0.05,0.25,2,7.2284,-9.48603,11.9262,3.39163
0.05,0.25,2.5,6.71656,-10.8787,12.7851,3.3074
0.05,0.25,3,6.3325,-12.1807,13.7284,3.24874
0.05,0.5,0.5,9.16674,-4.51787,10.2196,3.08593
0.05,0.5,1,6.68162,-6.64576,9.42391,2.61396
0.05,0.5,1.5,5.57623,-8.34051,10.0329,2.38755
0.05,0.5,2,4.92429,-9.82502,10.99,2.25459
0.05,0.5,2.5,4.47843,-11.1777,12.0414,2.14785
0.05,0.5,3,4.14547,-12.439,13.1116,2.03875
0.05,1,0.5,8.97643,-4.48821,10.0359,3.40683
0.05,1,1,6.38831,-6.38831,9.03443,2.94943
0.05,1,1.5,5.28207,-7.9231,9.52239,2.70047
0.05,1,2,4.63844,-9.27688,10.3719,2.53503
0.05,1,2.5,4.20682,-10.5171,11.3272,2.41383
0.05,1,3,3.89259,-11.6778,12.3095,2.31961
0.05,2,0.5,10.4711,-3.9773,11.201,3.79666
0.05,2,1,7.5243,-5.58545,9.37082,3.35571
0.05,2,1.5,6.07081,-6.69765,9.03954,3.09782
0.05,2,2,5.43219,-8.11748,9.76741,2.91493
0.05,2,2.5,4.89841,-9.19422,10.4177,2.77691
0.05,2,3,4.46645,-10.1101,11.0528,2.67342
0.05,3,0.5,12.02,-3.66807,12.5672,4.0256
0.05,3,1,8.69033,-5.09351,10.073,3.60206
0.05,3,1.5,7.16164,-6.3139,9.54748,3.34179
0.05,3,2,6.24134,-7.38506,9.66919,3.16174
0.05,3,2.5,5.63431,-8.44027,10.1481,3.01876
0.05,3,3,5.13156,-9.21175,10.5446,2.90423
0.1,0.1,0.5,9.86836,-2.43568,10.1645,3.60009
0.1,0.1,1,8.94149,-3.95823,9.77844,3.50078
0.1,0.1,1.5,8.42983,-5.25271,9.93241,3.44364
0.1,0.1,2,8.08581,-6.4279,10.3295,3.40542
0.1,0.1,2.5,7.82919,-7.52594,10.8598,3.37625
0.1,0.1,3,7.61674,-8.56926,11.465,3.35078
0.1,0.25,0.5,7.68135,-2.91309,8.21518,3.16071
0.1,0.25,1,6.24685,-4.56513,7.73716,2.93843
0.1,0.25,1.5,5.52841,-5.9275,8.10547,2.81614
0.1,0.25,2,5.06871,-7.14551,8.76072,2.73488
0.1,0.25,2.5,4.74088,-8.27322,9.53531,2.67034
0.1,0.25,3,4.49253,-9.33765,10.3622,2.62459
0.1,0.5,0.5,6.56871,-3.21767,7.31446,2.61067
0.1,0.5,1,4.89273,-4.85502,6.89275,2.23275
0.1,0.5,1.5,4.13639,-6.17846,7.43526,2.05037
0.1,0.5,2,3.68878,-7.35505,8.22824,1.93994
0.1,0.5,2.5,3.38409,-8.44167,9.09471,1.85658
0.1,0.5,3,3.15818,-9.46616,9.97909,1.77948
0.1,1,0.5,6.55816,-3.27908,7.33225,2.82679
0.1,1,1,4.7244,-4.7244,6.68131,2.47731
0.1,1,1.5,3.9407,-5.91105,7.1042,2.28346
0.1,1,2,3.48926,-6.97853,7.80223,2.15398
0.1,1,2.5,3.18893,-7.97232,8.58645,2.0591
0.1,1,3,2.97161,-8.91482,9.39705,1.98546
0.1,2,0.5,7.53207,-3.02367,8.11632,3.10184
0.1,2,1,5.50031,-4.21437,6.92923,2.77751
0.1,2,1.5,4.49106,-5.1082,6.80171,2.58091
0.1,2,2,4.02671,-6.2011,7.39379,2.44039
0.1,2,2.5,3.65214,-7.07471,7.96176,2.33651
0.1,2,3,3.35911,-7.85705,8.54499,2.25307
0.1,3,0.5,8.45664,-2.82099,8.91475,3.25378
0.1,3,1,6.29067,-3.90624,7.40481,2.95306
0.1,3,1.5,5.23186,-4.86036,7.14111,2.76212
0.1,3,2,4.58806,-5.72692,7.33811,2.62563
0.1,3,2.5,4.15846,-6.58015,7.78403,2.51625
0.1,3,3,3.80873,-7.2563,8.19514,2.42707
0.25,0.1,0.5,5.53168,-1.61928,5.76382,2.6251
0.25,0.1,1,5.08252,-2.77494,5.79071,2.55788
0.25,0.1,1.5,4.82931,-3.78799,6.13767,2.51937
0.25,0.1,2,4.6568,-4.7248,6.63397,2.4931
0.25,0.1,2.5,4.527,-5.61196,7.21026,2.47297
0.25,0.1,3,4.42134,-6.4638,7.83128,2.45605
0.25,0.25,0.5,4.67524,-1.8758,5.0375,2.39092
0.25,0.25,1,3.93408,-3.10512,5.01186,2.23739
0.25,0.25,1.5,3.54907,-4.15098,5.46136,2.15328
0.25,0.25,2,3.30045,-5.10532,6.07925,2.09696
0.25,0.25,2.5,3.12174,-6.00242,6.76567,2.05404
0.25,0.25,3,2.98502,-6.85947,7.48082,2.02124
0.25,0.5,0.5,4.27208,-2.06674,4.74574,2.119
0.25,0.5,1,3.33977,-3.29307,4.69024,1.84703
0.25,0.5,1.5,2.89482,-4.3071,5.18951,1.71403
0.25,0.5,2,2.62823,-5.22668,5.85028,1.63275
0.25,0.5,2.5,2.44636,-6.08994,6.56293,1.57377
0.25,0.5,3,2.3119,-6.91486,7.2911,1.52334
0.25,1,0.5,4.34238,-2.17119,4.85492,2.21195
0.25,1,1,3.28186,-3.28186,4.64125,1.98229
0.25,1,1.5,2.79226,-4.18839,5.03381,1.85084
0.25,1,2,2.51125,-5.02249,5.61532,1.76253
0.25,1,2.5,2.32599,-5.81497,6.26291,1.69782
0.25,1,3,2.19295,-6.57886,6.93472,1.6477
0.25,2,0.5,4.81409,-2.13848,5.26769,2.36725
0.25,2,1,3.72135,-3.04755,4.80999,2.16493
0.25,2,1.5,3.11014,-3.73894,4.8634,2.03622
0.25,2,2,2.82019,-4.57733,5.37637,1.93868
0.25,2,2.5,2.58838,-5.28301,5.88302,1.87372
0.25,2,3,2.41379,-5.94835,6.41944,1.81413
0.25,3,0.5,5.1961,-2.04439,5.58382,2.45273
0.25,3,1,4.15102,-2.89416,5.06035,2.27268
0.25,3,1.5,3.54004,-3.6258,5.06737,2.15187
0.25,3,2,3.15271,-4.3168,5.3455,2.061
0.25,3,2.5,2.88831,-5.00651,5.77992,1.9904
0.25,3,3,2.66887,-5.58805,6.19267,1.93208
0.5,0.1,0.5,3.69437,-1.21064,3.88767,2.10032
0.5,0.1,1,3.45073,-2.17074,4.07672,2.05364
0.5,0.1,1.5,3.30578,-3.03636,4.48861,2.02612
0.5,0.1,2,3.20541,-3.84886,5.00883,2.00695
0.5,0.1,2.5,3.1293,-4.62636,5.58532,1.99232
0.5,0.1,3,3.0676,-5.37895,6.19219,1.98021
0.5,0.25,0.5,3.2846,-1.36494,3.55692,1.96468
0.5,0.25,1,2.86868,-2.37667,3.7253,1.85734
0.5,0.25,1.5,2.63713,-3.26421,4.19637,1.79617
0.5,0.25,2,2.48451,-4.08706,4.78297,1.75491
0.5,0.25,2.5,2.37367,-4.86924,5.417,1.72394
0.5,0.25,3,2.28822,-5.62301,6.07077,1.69984
0.5,0.5,0.5,3.10413,-1.48947,3.44298,1.81815
0.5,0.5,1,2.56764,-2.51206,3.59211,1.62704
0.5,0.5,1.5,2.28467,-3.38085,4.08042,1.52601
0.5,0.5,2,2.1097,-4.17915,4.68146,1.46357
0.5,0.5,2.5,1.98894,-4.93627,5.3219,1.41901
0.5,0.5,3,1.89927,-5.6658,5.97566,1.38257
0.5,1,0.5,3.15662,-1.57831,3.5292,1.84939
0.5,1,1,2.55101,-2.55101,3.60767,1.6935
0.5,1,1.5,2.22957,-3.34436,4.01942,1.60171
0.5,1,2,2.0381,-4.07621,4.55734,1.53958
0.5,1,2.5,1.91094,-4.77735,5.14537,1.49394
0.5,1,3,1.81959,-5.45877,5.75405,1.45856
0.5,2,0.5,3.39091,-1.59992,3.7494,1.94191
0.5,2,1,2.80693,-2.46053,3.73271,1.80895
0.5,2,1.5,2.41547,-3.06445,3.90197,1.72121
0.5,2,2,2.23149,-3.80384,4.41007,1.65733
0.5,2,2.5,2.07551,-4.43401,4.89573,1.60178
0.5,2,3,1.95807,-5.04014,5.40713,1.56778
0.5,3,0.5,3.56846,-1.56788,3.89771,1.99344
0.5,3,1,3.04107,-2.37081,3.85601,1.87705
0.5,3,1.5,2.68489,-3.02726,4.04634,1.79581
0.5,3,2,2.43772,-3.63505,4.37676,1.73198
0.5,3,2.5,2.26802,-4.26007,4.82619,1.67893
0.5,3,3,2.11774,-4.79189,5.23899,1.64498
0.75,0.1,0.5,2.96828,-1.03062,3.14212,1.86043
0.75,0.1,1,2.80903,-1.89769,3.38997,1.8257
0.75,0.1,1.5,2.70791,-2.69542,3.82074,1.80392
0.75,0.1,2,2.63614,-3.45201,4.34346,1.7884
0.75,0.1,2.5,2.58123,-4.18123,4.9138,1.77651
0.75,0.1,3,2.53666,-4.89121,5.50986,1.76672
0.75,0.25,0.5,2.70213,-1.14394,2.9343,1.76426
0.75,0.25,1,2.42252,-2.05349,3.17576,1.68301
0.75,0.25,1.5,2.25679,-2.86997,3.651,1.634
0.75,0.25,2,2.14451,-3.63506,4.2205,1.60034
0.75,0.25,2.5,2.06196,-4.36742,4.8297,1.57509
0.75,0.25,3,1.99788,-5.07703,5.45599,1.55533
0.75,0.5,0.5,2.58714,-1.23832,2.86823,1.66403
0.75,0.5,1,2.22257,-2.16376,3.10188,1.51956
0.75,0.5,1.5,2.0155,-2.96967,3.58904,1.43715
0.75,0.5,2,1.88264,-3.71678,4.16639,1.38469
0.75,0.5,2.5,1.78939,-4.42922,4.77702,1.34723
0.75,0.5,3,1.71961,-5.11867,5.3998,1.31714
0.75,1,0.5,2.62247,-1.31123,2.93201,1.67416
0.75,1,1,2.21403,-2.21403,3.13111,1.55456
0.75,1,1.5,1.97756,-2.96635,3.5651,1.48276
0.75,1,2,1.83004,-3.66008,4.0921,1.43383
0.75,1,2.5,1.73011,-4.32529,4.65848,1.39779
0.75,1,3,1.65775,-4.97325,5.24226,1.36982
0.75,2,0.5,2.77059,-1.3393,3.07732,1.73937
0.75,2,1,2.38823,-2.17549,3.23054,1.63858
0.75,2,1.5,2.10298,-2.7655,3.47426,1.57065
0.75,2,2,1.97051,-3.46769,3.98845,1.52093
0.75,2,2.5,1.85075,-4.06889,4.47003,1.47588
0.75,2,3,1.75884,-4.64908,4.97066,1.44599
0.75,3,0.5,2.88129,-1.32497,3.17133,1.77651
0.75,3,1,2.54286,-2.11718,3.30886,1.68915
0.75,3,1.5,2.29849,-2.7551,3.58798,1.6269
0.75,3,2,2.11789,-3.33516,3.95079,1.57949
0.75,3,2.5,1.99345,-3.93703,4.41294,1.53487
0.75,3,3,1.87435,-4.43946,4.81892,1.50592
1,0.1,0.5,2.55975,-0.922924,2.72105,1.71397
1,0.1,1,2.44866,-1.73064,2.99851,1.68779
1,0.1,1.5,2.37353,-2.48631,3.43735,1.67021
1,0.1,2,2.31849,-3.20973,3.95951,1.65723
1,0.1,2.5,2.27577,-3.91147,4.52535,1.64718
1,0.1,3,2.24094,-4.59822,5.11521,1.6389
1,0.25,0.5,2.36433,-1.01389,2.57255,1.63958
1,0.25,1,2.16189,-1.85891,2.8512,1.57608
1,0.25,1.5,2.03576,-2.63197,3.3274,1.53571
1,0.25,2,1.94775,-3.36325,3.88654,1.50723
1,0.25,2.5,1.88203,-4.06744,4.48175,1.48569
1,0.25,3,1.83061,-4.7529,5.09325,1.46874
1,0.5,0.5,2.28023,-1.09091,2.52775,1.56347
1,0.5,1,2.01281,-1.95378,2.80511,1.44981
1,0.5,1.5,1.85287,-2.72144,3.29232,1.38114
1,0.5,2,1.74669,-3.43916,3.85729,1.33585
1,0.5,2.5,1.67071,-4.12669,4.45206,1.30312
1,0.5,3,1.61329,-4.79427,5.05844,1.27696
1,1,0.5,2.30539,-1.1527,2.57751,1.56443
1,1,1,2.00602,-2.00602,2.83694,1.46783
1,1,1.5,1.82294,-2.73441,3.28635,1.40893
1,1,2,1.70424,-3.40847,3.81079,1.36855
1,1,2.5,1.62202,-4.05504,4.36741,1.33875
1,1,3,1.56178,-4.68533,4.93877,1.31562
1,2,0.5,2.41083,-1.18047,2.68432,1.61407
1,2,1,2.13463,-1.99072,2.91884,1.53333
1,2,1.5,1.91427,-2.58312,3.21511,1.47706
1,2,2,1.81242,-3.26394,3.73339,1.43574
1,2,2.5,1.71564,-3.85129,4.21614,1.4036
1,2,3,1.63968,-4.41763,4.71212,1.37708
1,3,0.5,2.48951,-1.17341,2.75219,1.64367
1,3,1,2.24753,-1.95058,2.97593,1.57391
1,3,1.5,2.06538,-2.58381,3.30785,1.5232
1,3,2,1.92508,-3.15346,3.69462,1.48398
1,3,2.5,1.8278,-3.74254,4.16503,1.45078
1,3,3,1.72742,-4.22499,4.56448,1.41922
